,0
0,0.03834176063537598
1,0.009138822555541992
2,0.0022869110107421875
3,0.0024967193603515625
4,0.008222103118896484
5,0.005177736282348633
6,0.0033049583435058594
7,0.0020711421966552734
8,0.002209186553955078
9,0.0019860267639160156
10,0.0018260478973388672
11,0.0026171207427978516
12,0.0024650096893310547
13,0.005360126495361328
14,0.006056070327758789
15,0.002080678939819336
16,0.002521038055419922
17,0.0021331310272216797
18,0.0023767948150634766
19,0.00467991828918457
20,0.004538059234619141
21,0.0036559104919433594
22,0.0021238327026367188
23,0.006003141403198242
24,0.0052030086517333984
25,0.0066661834716796875
26,0.005682229995727539
27,0.006706953048706055
28,0.0038518905639648438
29,0.005695819854736328
30,0.004769086837768555
31,0.004853963851928711
32,0.005741119384765625
33,0.011586904525756836
34,0.004060983657836914
35,0.011023283004760742
36,0.00860285758972168
37,0.005908012390136719
38,0.005518674850463867
39,0.0042231082916259766
40,0.002109050750732422
41,0.004451751708984375
42,0.007558107376098633
43,0.005233049392700195
44,0.005710124969482422
45,0.0030508041381835938
46,0.008723258972167969
47,0.0051381587982177734
48,0.007053852081298828
49,0.0035219192504882812
50,0.003113985061645508
51,0.008231163024902344
52,0.0062258243560791016
53,0.008290767669677734
54,0.004523754119873047
55,0.004809856414794922
56,0.005733966827392578
57,0.002210855484008789
58,0.0025179386138916016
59,0.0038008689880371094
60,0.004446983337402344
61,0.0020232200622558594
62,0.0020453929901123047
63,0.0020232200622558594
64,0.0023839473724365234
65,0.002694845199584961
66,0.009253263473510742
67,0.005176067352294922
68,0.006058216094970703
69,0.002930164337158203
70,0.0052890777587890625
71,0.005894184112548828
72,0.005906105041503906
73,0.005300998687744141
74,0.0057299137115478516
75,0.002140045166015625
76,0.006003141403198242
77,0.008151054382324219
78,0.0031859874725341797
79,0.0029129981994628906
80,0.006501197814941406
81,0.004017829895019531
82,0.005877971649169922
83,0.006530046463012695
84,0.0051610469818115234
85,0.00491023063659668
86,0.003464221954345703
87,0.005094289779663086
88,0.005828142166137695
89,0.005107879638671875
90,0.0059661865234375
91,0.006681919097900391
92,0.005850791931152344
93,0.006844043731689453
94,0.005426883697509766
95,0.005478858947753906
96,0.0023827552795410156
97,0.002042055130004883
98,0.0022029876708984375
99,0.0023698806762695312
