,0
0,30.8
1,22.7
2,14.9
3,19.6
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,28.8
10,26.7
11,14.3
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,22.5
20,49.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,27.8
30,17.4
31,18.6
32,20.6
33,18.3
34,19.8
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,32.7
41,18.3
42,21.6
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,23.8
51,19.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,27.7
61,25.7
62,26.5
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,20.8
71,20.4
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,32.6
82,19.2
83,20.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,19.3
92,18.6
93,19.2
94,25.0
95,19.2
96,16.1
97,27.2
98,0.0
99,0.0
